,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jack,Aspi,arborist77,Neo,MurmurTwin,Ray Bees,LastAbzan,Max,Mr. Fancypants,baronvonfonz,Greg,Keith,,,,,,,,,,,,,,,,,,,,
1,→,"Phelia, Exuberant Shepherd",Swords to Plowshares,Reanimate,Fable of the Mirror-Breaker,Badgermole Cub,"Wan Shi Tong, All-Knowing","Sheoldred, the Apocalypse",Quantum Riddler,"Ragavan, Nimble Pilferer",Strip Mine,"Urza, Lord High Artificer",Birds of Paradise,↩, ,,,Draft Status,,,,W,W,B,R,G,U,B,U,R,C,U,G
2,↪,Mother of Runes,Solitude,Thoughtseize,Fury,Ignoble Hierarch,Stock Up,Demonic Tutor,Ephemerate,Cori-Steel Cutter,Icetill Explorer,Pyrogoyf,Noble Hierarch,,,,,Double Picks After:,25,,,W,W,B,R,BRG,U,B,W,R,G,R,WUG
3,,Path to Exile,Oust,Deep-Cavern Bat,Smuggler's Copter,Utopia Sprawl,Memory Lapse,Day's Undoing,Flooded Strand,Lightning bolt,Llanowar Elves,Scalding Tarn,Scalding Tarn 2,↩,,,,Players:,12,,,W,W,B,C,G,U,U,C,R,G,C,C
4,↪,Stoneforge Mystic,Reprieve,"Inti, Seneschal of the Sun",Carnage Interpreter,Elvish Mystic,Time Warp,"Teferi, Time Raveler",Misty Rainforest 2,Chain Lightning,Deathrite Shaman,Currency Converter,Misty Rainforest,,,,,Picks per Player:,45,,,W,W,R,BR,G,U,WU,C,R,BG,C,C
5,,Dismember,Inquisition of Kozilek,Fear of Missing Out,"Laelia, the Blade Reforged",Springheart Nantuko,Temporal Manipulation,Polluted Delta,Flooded Strand 2,Screaming Nemesis,Verdant Catacombs,Stern Scolding,Windswept Heath,↩,,,,Total Picks:,540,,,B,B,R,R,G,U,C,C,R,C,U,C
6,↪,Ancient Tomb,Fatal Push,Bloodstained Mire,Chrome Mox,"Rofellos, Llanowar Emissary",Subtlety,Marsh Flats,Polluted Delta 2,The Legend of Roku,Verdant Catacombs 2,"Ivora, Insatiable Heir",Wooded Foothills,,,,,Picks Made:,540,,,C,B,C,C,G,U,C,C,R,C,R,C
7,,Overlord of the Mistmoors,Marsh Flats 2,Detective's Phoenix,Wooded Foothills 2,Green Sun's Zenith,Mystic Sanctuary,Prismatic Vista,Hallowed Fountain,Dragon's Rage Channeler,Bloodstained Mire 2,Steam Vents,Scythecat Cub,↩,,,,Picks Remaining:,0,,,W,C,R,C,G,U,C,WU,R,C,UR,G
8,↪,Voice of Victory,Windswept Heath 2,Snuff Out,Arid Mesa 2,Pest Infestation,Mana Leak,Hallowed Fountain 2,Watery Grave,Generous Plunderer,Malevolent Rumble,Arid Mesa,"Uro, Titan of Nature's Wrath",,,,,Making Double Picks:,TRUE,,,W,C,B,C,G,U,WU,UB,R,G,C,UG
9,,Novice Inspector,"Yawgmoth, Thran Physician",Necromancy,Embercleave,Lumbering Worldwagon,Lórien Revealed,"Narset, Parter of Veils",Steam Vents 2,Seasoned Pyromancer,Blood Crypt,Mystic Confluence,Breeding Pool,↩,,,,Next Player if Single Pick:,12,,,W,B,B,R,G,U,U,UR,R,BR,U,UG
10,↪,Unexpectedly Absent,Esper Sentinel,Blood Crypt 2,Flame Slash,Primal Might,Ledger Shredder,Toxic Deluge,Prismatic Ending,"Magda, Brazen Outlaw",Ophiomancer,Vivi Ornitier,Stomping Ground,,,,,Next Player if Double Pick,12,,,W,W,BR,R,G,U,B,W,R,B,UR,RG
11,,"Toby, Beastie Befriender",Glimmer Lens,Tersa Lightshatter,Hired Claw,Voracious Hydra,Remand,Snapcaster Mage,Unholy Heat,Sacred Foundry,Goblin Bombardment,Mishra's Bauble 5,Sylvan Safekeeper,↩,,,,Round Number:,45,,,W,W,R,R,G,U,U,R,WR,R,C,G
12,↪,Enduring Innocence,Staff of the Storyteller,Galvanic Discharge,Mine Collapse,Inscription of Abundance,Stormchaser's Talent,Watery Grave 2,Boomerang Basics,Giver of Runes,Bloodghast,Mishra's Bauble 6,Six,,,,,Next Player:,FALSE,,,W,W,R,R,G,U,UB,U,W,B,C,G
13,,Dissection Tools,"Sephiroth, Fabled SOLDIER",Oliphaunt,Kumano Faces Kakkazan,Keen-Eyed Curator,Unnerving Grasp,Spell Pierce,"Lutri, the Spellchaser",Sheltered by Ghosts,Beifong's Bounty Hunters,Mishra's Bauble 2,Lotus Cobra,↩,,,,Next Row:,45,,,C,B,R,R,G,U,U,UR,W,BG,C,G
14,↪,Sanguine Evangelist,Mishra's Bauble,Troll of Khazad-dûm,Emberheart Challenger,Hunter's Talent,"Wan Shi Tong, Librarian",Undercity Sewers,Lingering Souls,Wedding Announcement,Overlord of the Balemurk,Mishra's Bauble 3,"Nissa, Resurgent Animist",,,,,Next Player Name:,FALSE,,,W,C,B,R,G,U,UB,WB,W,B,C,G
15,,Winds of Abandon,Mishra's Bauble 4,Crabomination,Heartfire Hero,Fanatic of Rhonas,Ponder,Sevinne's Reclamation,Mishra's Bauble 8,Sacred Foundry 2,Stomping Ground 2,Mishra's Bauble 7,Unable to Scream,↩,,,,Draft Active:,FALSE,,,W,C,B,R,G,U,W,C,WR,RG,C,U
16,↪,"Spider-Woman, Stunning Savior",Thraben Inspector,Grief,Bonecrusher Giant,Endurance,Torrential Gearhulk,Dauthi Voidwalker,Faithless Looting,Figure of Destiny,Marionette Apprentice,"Malcolm, Alluring Scoundrel",Abrade,,,,,,,,,WU,W,B,R,G,U,B,R,WR,B,U,R
17,,Abandoned Air Temple,"Jadar, Ghoulcaller of Nephalia",Bitter Triumph,Burst Lightning,Sentinel of the Nameless City,Fading Hope,Baleful Strix,Treasure Cruise,Luminarch Aspirant,Eternal Witness,Counterspell,Overlord of the Boilerbilges,↩,,,,,,,,W,B,B,R,G,U,UB,U,W,G,U,R
18,↪,Portable Hole,Legion's Landing,Raven Eagle,Arena of Glory,Questing Beast,Cryptic Command,Thundertrap Trainer,Brainstorm,Robber of the Rich,Cut Down,Kappa Cannoneer,"Titania, Protector of Argoth",,,,,,,,,W,W,B,R,G,U,U,U,R,B,U,G
19,,Elite Spellbinder,Lurrus of the Dream-Den,Bloodtithe Harvester,Mutavault,Ulvenwald Oddity,"Jace, Vryn's Prodigy",Retrofitter Foundry,Proft's Eidetic Memory,"Chandra, Torch of Defiance",Sylvan Caryatid,Expressive Iteration,Mizzium Mortars,↩,,,,,,,,W,WB,BR,C,G,U,C,U,R,G,UR,R
20,↪,"Adeline, Resplendent Cathar",Cosmogrand Zenith,Quag Feast,Chainsaw,Esika's Chariot,"Venser, Shaper Savant",Preordain,"Plagon, Lord of the Beach",Loran of the Third Path,Bone Shards,"Saheeli, Sublime Artificer",Torch the Tower,,,,,,,,,W,W,B,R,G,U,U,WU,W,B,UR,R
21,,Blinkmoth Nexus,Virtue of Loyalty,Raucous Theater,Grim Lavamancer,Overlord of the Hauntwoods,Miscalculation,Godless Shrine,Third Path Iconoclast,Scrapwork Mutt,Huntmaster of the Fells,Legion Extruder,"Sandman, Shifting Scoundrel",↩,,,,,,,,C,W,BR,R,G,U,WB,UR,R,RG,R,G
22,↪,Mana Tithe,Clarion Spirit,"Kroxa, Titan of Death's Hunger",Palantír of Orthanc,Scavenging Ooze,Make Disappear,Bloodchief's Thirst,No More Lies,Glorybringer,Pile On,"Karn, Scion of Urza",Tireless Tracker,,,,,,,,,W,W,BR,C,G,U,B,WU,R,B,C,G
23,,Witch Enchanter,Bitterblossom,Damnation,Rabbit Battery,"Bristly Bill, Spine Sower",Consider,Force Spike,Norman Osborn,Inspiring Vantage,Forsaken Miner,"The Mechanist, Aerial Artisan",Molt Tender,↩,,,,,,,,W,B,B,R,G,U,U,UBR,WR,B,U,G
24,↪,"Thalia, Guardian of Thraben",The Wandering Emperor,"Etali, Primal Conqueror","Kari Zev, Skyship Raider","Boseiju, Who Endures",Thought Scour,Unearth,"Aang, Swift Savior",Lion sash,Chthonian Nightmare,Mox Opal,Commercial District,,,,,,,,,W,W,RG,R,G,U,B,WU,W,B,C,RG
25,,Intrepid Adversary,"Suki, Courageous Rescuer",Virtue of Persistence,Dragonkin Berserker,Pawpatch Recruit,Brazen Borrower,Sublime Epiphany,Fire Magic,Elegant Parlor,Wrenn and Six,Aether Spellbomb,Bristlebud Farmer,↩,,,,,,,,W,W,B,R,G,U,U,R,WR,RG,U,G
26,↪,"Kytheon, Hero of Akros",Shadowy Backstreet,Hostile Investigator,Copperline Gorge,Innkeeper's Talent,Vendilion Clique,Damn,Three Steps Ahead,Sunfall,The Meathook Massacre,Pyrite Spellbomb,"Nissa, Who Shakes the World",,,,,,,,,W,WB,B,RG,G,U,WB,U,W,B,R,G
27,,Maul of the Skyclaves,Concealed Courtyard,Duress,Raging Ravine,Ranger Class,Faerie Mastermind,Abhorrent Oculus,"Teferi, Hero of Dominaria",Agatha's Soul Cauldron,Warren Soultrader,Thundering Falls,Timeless Witness,,,,,,,,,W,WB,B,RG,G,U,U,WU,C,B,UR,G
28,,Thraben Charm,Godless Shrine 2,Persist,Questing Druid,Agonasaur Rex,Floodpits Drowner,Dark Ritual,Day of Judgment,Jeskai Revelation,Mayhem Devil,Flame of Anor,"Lumra, Bellow of the Woods",↩,,,,,,,,W,WB,B,RG,G,U,B,W,WUR,BR,UR,G
29,,Flickerwisp,Sage of the Skies,Spymaster's Vault,"Migloz, Maze Crusher",Thragtusk,Enduring Curiosity,"Tourach, Dread Cantor",Kolaghan's Command,Goldspan Dragon,Overgrown Tomb,"Otawara, Soaring City","Jace, the Mind Sculptor",,,,,,,,,W,W,B,RG,G,U,B,BR,R,BG,U,U
30,↪,Containment Priest,Restless Fortress,"Cecil, Dark Knight",Rampaging Raptor,"Nissa, Ascended Animist",Phantasmal Image,Collective Brutality,Meticulous Archive,Serra Paragon,"Grist, the Hunger Tide",Astrologian's Planisphere,Esper Origins,,,,,,,,,W,WB,WB,R,G,U,B,WU,W,BG,U,G
31,,Batterskull,Caretaker's Talent,Fell the Profane,Monstrous Rage,The Great Henge,Phantasmal Shieldback,Go for the Throat,Skyclave Apparition,Aang's Iceberg,Phyrexian Tower,Forensic Gadgeteer,Traveling Chocobo,,,,,,,,,C,W,B,R,G,U,B,W,W,B,U,G
32,,Unidentified Hovership,Descendant of Storms,Trumpeting Carnosaur,Bloodbraid Elf,Wurmcoil Engine,Darkslick Shores,Gix's Command,"Kiora, the Rising Tide",Lightning Helix,Murderous Cut,Silverbluff Bridge,Hydroid Krasis,↩,,,,,,,,W,W,R,RG,C,UB,B,U,WR,B,UR,UG
33,,Aven Interrupter,Usher of the Fallen,Blackcleave Cliffs,"Skysovereign, Consul Flagship",Tough Cookie,Creeping Tar Pit,"Kitsa, Otterball Elite",Condemn,Pia and Kiran Nalaar,Overgrown Tomb 2,Ghostfire Slice,Kishla Skimmer,,,,,,,,,W,W,BR,C,G,UB,U,W,R,BG,R,UG
34,↪,Sungold Sentinel,Cathar Commando,Rotting Regisaur,Amped Raptor,Nexus of Becoming,"Yuriko, the Tiger's Shadow",Chart a Course,Monastery Mentor,Blade Splicer,Concealing Curtains,Spirebluff Canal,Titan of Industry,,,,,,,,,W,W,B,R,C,UB,U,W,W,B,UR,G
35,,Eagles of the North,"Gideon, Ally of Zendikar",Restless Vents,Earthshaker Khenra,Sandstorm Salvager,"Kaito, Bane of Nightmares",Misery's Shadow,Winternight Stories,Fireblast,Stalactite Stalker,"Syr Ginger, the Meal Ender",Escape to the Wilds,,,,,,,,,W,W,BR,R,G,UB,B,U,R,B,C,RG
36,,Vaultborn Tyrant,"Cloud, Midgar Mercenary",Liliana of the Veil,Monastery Swiftspear,Generous Ent,Fallen Shinobi,Celestial Colonnade,Artist's Talent,Talisman of Creativity,Shifting Woodland,Nettlecyst,Hedge Maze,↩,,,,,,,,G,W,B,R,G,UB,WU,R,UR,G,C,UG
37,,Priest of Forgotten Gods,The Aetherspark,Saw in Half,Soul-Scar Mage,Balustrade Wurm,Kaito Shizuki,Preacher of the Schism,Monument to Endurance,Bonehoard Dracosaur,Soul-Guide Lantern,Phyrexian Metamorph,Repulsive Mutation,,,,,,,,,B,C,B,R,G,UB,B,C,R,C,U,UG
38,↪,Life // Death,Battle Screech,Bloodthirsty Adversary,Reckoner Bankbuster,Earthbender Ascension,Spyglass Siren,Nethergoyf,Dreadhorde Arcanist,Talisman of Progress,Sinkhole Surveyor,Phyrexian Revoker,Genemorph Imago,,,,,,,,,BG,W,R,C,G,U,B,R,WU,B,C,UG
39,,Chrome Host Seedshark,"Teysa, Opulent Oligarch",Grave Titan,Goblin Rabblemaster,Mightform Harmonizer,Infernal Grasp,Mockingbird,Sheoldred's Edict,Rampaging Ferocidon,Scavenger's Talent,Hard Evidence,"Loot, the Pathfinder",,,,,,,,,U,WB,B,R,G,B,U,B,R,B,U,URG
40,,Caustic Bronco,Showdown of the Skalds,Stitcher's Supplier,Imodane's Recruiter,Birthing Ritual,Silent Hallcreeper,Tenacious Underdog,Seachrome Coast,"Joshua, Phoenix's Dominant",Underground Mortuary,The Endstone,Botanical Sanctum,↩,,,,,,,,B,WR,B,WR,G,U,B,WU,WR,BG,C,UG
41,,Voldaren Epicure,Dark Confidant,Myr Battlesphere,Restless Bivouac,Anticausal Vestige,Cryptic Coat,Sorin of House Markov,Restoration Angel,The Jolly Balloon Man,Cankerbloom,"Leovold, Emissary of Trest",Restless Vinestalk,,,,,,,,,R,B,C,WR,C,U,WB,W,WR,G,UBG,UG
42,↪,Sazh's Chocobo,Breeding Pool 2,"Alesha, Who Laughs at Fate",Tarmogoyf,Voice of Resurgence,Gingerbrute,Knight of the Ebon Legion,Duelist of the Mind,Splitskin Doll,Wight of the Reliquary,Mischievous Mystic,Eshki Dragonclaw,,,,,,,,,G,UG,BR,G,WG,C,B,U,W,BG,U,URG
43,,Primeval Titan,"Gix, Yawgmoth Praetor",Archfiend of the Dross,Violent Urge,Knight of Autumn,"Tameshi, Reality Architect","Raffine, Scheming Seer",Micromancer,Assimilation Aegis,"Korvold, Fae-Cursed King",Tear Asunder,"Polukranos, World Eater",,,,,,,,,G,B,B,R,WG,WU,WUB,U,WU,BRG,BG,G
44,,"Polukranos, Unchained",Restless Cottage,Cityscape Leveler,Tifa Lockhart,Temple Garden,Brightglass Gearhulk,Timeless Dragon,Talisman of Conviction,Ranger-Captain of Eos,Glissa Sunslayer,Michiko's Reign of Truth,Stirring Wildwood,✪,,,,,,,,BG,BG,C,G,WG,WG,W,WR,W,BG,W,WG
45,,Fires of Invention,Blooming Marsh,Blade of the Oni,Marauding Mako,Temple Garden 2,Knight of the Reliquary,Priest of Fell Rites,Underworld Breach,Ranger of Eos,Lush Portico,Dromoka's Command,Razorverge Thicket,,,,,,,,,R,BG,B,R,WG,WG,WB,R,W,WG,WG,WG